URL: /
Timestamp: Sat Jan 13 2024 00:55:56 GMT-0800 (Pacific Standard Time)

URL: /favicon.ico
Timestamp: Sat Jan 13 2024 00:55:57 GMT-0800 (Pacific Standard Time)

::1 - - [24/Jan/2024:09:08:20 +0000] "GET /movies/directors/Daniel%20Myrick HTTP/1.1" 500 4430 "-" "PostmanRuntime/7.36.1"
::1 - - [24/Jan/2024:17:47:08 +0000] "GET /movies/directors/Daniel%20Myrick HTTP/1.1" 500 4430 "-" "PostmanRuntime/7.36.1"
::1 - - [24/Jan/2024:17:48:10 +0000] "GET /movies/directors HTTP/1.1" 500 4430 "-" "PostmanRuntime/7.36.1"
::1 - - [24/Jan/2024:17:53:29 +0000] "GET /movies/directors HTTP/1.1" 500 4430 "-" "PostmanRuntime/7.36.1"
::1 - - [24/Jan/2024:17:55:04 +0000] "GET /movies/genre HTTP/1.1" 500 4430 "-" "PostmanRuntime/7.36.1"
::1 - - [24/Jan/2024:17:55:38 +0000] "GET /movies/genre HTTP/1.1" 500 4430 "-" "PostmanRuntime/7.36.1"
::1 - - [24/Jan/2024:17:55:47 +0000] "GET /movies/Genre HTTP/1.1" 500 4430 "-" "PostmanRuntime/7.36.1"
::1 - - [24/Jan/2024:17:55:56 +0000] "GET /movies/genre/Horror HTTP/1.1" 200 136 "-" "PostmanRuntime/7.36.1"
::1 - - [24/Jan/2024:18:04:27 +0000] "GET /movies/genre/Horror HTTP/1.1" 200 136 "-" "PostmanRuntime/7.36.1"
::1 - - [24/Jan/2024:18:04:54 +0000] "GET /movies/directors HTTP/1.1" 400 13 "-" "PostmanRuntime/7.36.1"
::1 - - [24/Jan/2024:18:05:35 +0000] "GET /movies/director HTTP/1.1" 400 13 "-" "PostmanRuntime/7.36.1"
::1 - - [24/Jan/2024:18:07:47 +0000] "GET /movies/director/Quentin%20Tarantino HTTP/1.1" 200 284 "-" "PostmanRuntime/7.36.1"
::1 - - [24/Jan/2024:18:22:08 +0000] "POST /users HTTP/1.1" 404 145 "-" "PostmanRuntime/7.36.1"
::1 - - [24/Jan/2024:18:24:43 +0000] "POST /users HTTP/1.1" 201 79 "-" "PostmanRuntime/7.36.1"
::1 - - [24/Jan/2024:18:35:59 +0000] "PUT /users/1 HTTP/1.1" 200 54 "-" "PostmanRuntime/7.36.1"
::1 - - [24/Jan/2024:18:59:02 +0000] "POST /users/1/Perfect%20Blue HTTP/1.1" 200 55 "-" "PostmanRuntime/7.36.1"
::1 - - [24/Jan/2024:20:38:50 +0000] "DELETE /users/1/Perfect%20Blue HTTP/1.1" 404 164 "-" "PostmanRuntime/7.36.1"
::1 - - [24/Jan/2024:20:39:34 +0000] "DELETE /users/1/Perfect%20Blue HTTP/1.1" 404 164 "-" "PostmanRuntime/7.36.1"
::1 - - [24/Jan/2024:20:40:40 +0000] "DELETE /users/1/Perfect%20Blue HTTP/1.1" 200 49 "-" "PostmanRuntime/7.36.1"
